Leader,Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Brock,Rock,0.5,0.0,-1.0,1.0,0.0,-0.5,0.5,1.0,-1.0,1.0,0.5,-0.5,0.5,0.0,0.5
Misty,Water,0.5,1.0,-0.5,1.0,-1.0,-1.0,-0.5,-0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5
Lt. Surge,Electric,-1.0,1.0,0.5,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.5,-0.5,-0.5,-0.5,-0.5
Erika,Grass,1.0,-0.5,-0.5,-0.5,0.0,0.5,1.0,-1.0,-0.5,0.0,0.5,0.0,0.5,0.5,0.0
Koga,Poison,-1.0,-1.0,1.0,-0.5,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-0.5,1.0,-0.5,-1.0,-0.5
Sabrina,Psychic,0.5,0.0,1.0,0.0,-0.5,0.0,-0.5,-1.0,-0.5,1.0,-0.5,-1.0,1.0,-0.5,-0.5
Blaine,Fire,-0.5,-1.0,-1.0,1.0,-0.5,0.5,0.0,0.0,-1.0,0.0,1.0,0.0,-0.5,0.0,0.5
Giovanni,Ground,-0.5,-0.5,0.5,0.0,0.5,-0.5,0.0,-0.5,0.5,1.0,-1.0,0.0,-1.0,-1.0,0.0
Janine,Poison,0.0,-0.5,1.0,0.0,0.5,0.5,0.5,-0.5,-0.5,-1.0,-0.5,-1.0,0.5,0.5,-1.0
Blue,Various,0.5,-0.5,-1.0,0.5,1.0,-0.5,-0.5,-0.5,0.0,0.0,-1.0,-0.5,-1.0,0.0,0.0
Falkner,Flying,-0.5,-1.0,0.5,-1.0,-0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.5
Whitney,Normal,0.0,-1.0,0.5,0.5,-1.0,-0.5,-1.0,-1.0,0.0,1.0,0.5,0.0,1.0,0.0,-0.5
Morty,Ghost,0.5,1.0,0.0,-0.5,0.0,0.5,0.5,-1.0,-0.5,-1.0,0.0,-0.5,-0.5,0.0,-1.0
Chuck,Fighting,0.0,0.0,-1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,0.0,0.5,0.5
Jasmine,Steel,0.5,1.0,-0.5,-1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,-0.5,1.0,0.0,0.5
Pryce,Ice,0.0,-0.5,-0.5,0.5,-1.0,-0.5,-1.0,0.0,1.0,0.5,0.0,0.5,-1.0,-1.0,0.5
Clair,Dragon,-0.5,0.0,-0.5,1.0,-0.5,0.5,0.0,0.0,0.0,0.5,1.0,-1.0,-0.5,0.0,-0.5
Roxanne,Rock,1.0,-1.0,1.0,-1.0,-1.0,-0.5,-0.5,-0.5,1.0,1.0,0.0,0.5,0.5,0.0,1.0
Brawly,Fighting,1.0,-1.0,1.0,-0.5,-0.5,1.0,0.5,0.5,0.5,-0.5,0.5,0.5,-1.0,-1.0,1.0
